Source,Target,Weight,Type
 Rutgers,Syracuse,1,Directed
 Rutgers,West Virginia,1,Directed
 San Diego State,South Alabama,1,Directed
 South Carolina,Clemson,1,Directed
 South Carolina,Virginia,1,Directed
 Southern Miss,Alabama,1,Directed
 Stanford,San Diego State,1,Directed
 TCU,Iowa State,1,Directed
 TCU,Southern Miss,1,Directed
 Tennessee,Arkansas,1,Directed
 Tennessee,California,1,Directed
 Tennessee,Texas A&M,1,Directed
 Tennessee,UCLA,1,Directed
 Texas,BYU,1,Directed
 Texas,Missouri,1,Directed
 Texas,Texas A&M,1,Directed
 Texas A&M,Baylor,1,Directed
 Texas A&M,Colorado,1,Directed
 Texas A&M,Missouri,1,Directed
 Texas A&M,Notre Dame,1,Directed
 Texas A&M,Ole Miss,1,Directed
 Texas Tech,Kansas State,1,Directed
 Texas Tech,Missouri,1,Directed
 Texas Tech,West Virginia,1,Directed
 Towson,UMass,1,Directed
 Tulsa,Arkansas,1,Directed
 UCLA,Arizona,1,Directed
 UCLA,Memphis,1,Directed
 UCLA,Texas A&M,1,Directed
 USC,Arizona,1,Directed
 USC,Boston College,1,Directed
 USC,California,1,Directed
 USC,Kansas State,1,Directed
 USC,Notre Dame,1,Directed
 USC,Washington,1,Directed
 Utah,Arizona,1,Directed
 Utah,BYU,1,Directed
 Utah,Colorado,1,Directed
 Utah,Notre Dame,1,Directed
 Utah,USC,1,Directed
 Utah State,Boise State,1,Directed
 Villanova,UMass,1,Directed
 Virginia,Clemson,1,Directed
 Virginia,NC State,1,Directed
 Virginia Tech,Georgia Tech,1,Directed
 Virginia Tech,West Virginia,1,Directed
 Wake Forest,NC State,1,Directed
 Wake Forest,Virginia,1,Directed
 Washington,California,1,Directed
 Washington,Oregon State,1,Directed
 Washington,USC,1,Directed
 Washington State,Arizona,1,Directed
 Washington State,California,1,Directed
 Washington State,Colorado,1,Directed
 Washington State,USC,1,Directed
 West Virginia,Colorado,1,Directed
 West Virginia,Iowa State,1,Directed
 West Virginia,Oklahoma,1,Directed
 West Virginia,Syracuse,1,Directed
 William & Mary,UMass,1,Directed
 Wisconsin,Illinois,1,Directed
 Wisconsin,Indiana,1,Directed
 Wisconsin,Oregon State,1,Directed
(FCS) The Citadel,Alabama,1,Directed
(FCS) UC Davis,Hawaii,1,Directed
/10 Purdue,Michigan State,1,Directed
Abilene Christian,Baylor,1,Directed
Abilene Christian,Georgia State,1,Directed
Air Force,Hawaii,1,Directed
Air Force,Michigan State,1,Directed
Air Force,Nevada,1,Directed
Air Force,Oklahoma,1,Directed
Akron,FIU,1,Directed
Akron,Iowa State,1,Directed
Akron,Oklahoma,1,Directed
Akron,Syracuse,1,Directed
Akron,Troy,1,Directed
Akron[],Penn State,1,Directed
Alabama, Oklahoma,1,Directed
Alabama, Ole Miss,1,Directed
Alabama, Texas A&M,1,Directed
Alabama, UCLA,1,Directed
Alabama,Auburn,1,Directed
Alabama,Hawaii,1,Directed
Alabama,Louisiana–Monroe,1,Directed
Alabama,LSU,1,Directed
Alabama,Mississippi State,1,Directed
Alabama,Northern Illinois,1,Directed
Alabama,Oklahoma,1,Directed
Alabama,Ole Miss,1,Directed
Alabama,South Carolina,1,Directed
Alabama A&M,Georgia Tech,1,Directed
Alabama A&M,Middle Tennessee,1,Directed
Alabama A&M,South Alabama,1,Directed
Alabama State,South Alabama,1,Directed
Alabama State,Troy,1,Directed
Albany,Buffalo,1,Directed
Albany,FIU,1,Directed
Alcorn State,Arkansas,1,Directed
Alcorn State,Arkansas State,1,Directed
Alcorn State,Troy,1,Directed
Appalachian State,Clemson,1,Directed
Appalachian State,Hawaii,1,Directed
Appalachian State,Kansas,1,Directed
Appalachian State,Penn State,1,Directed
Appalachian State,Southern Miss,1,Directed
Appalachian State,Troy,1,Directed
Appalachian State,UMass,1,Directed
Arizona, California,1,Directed
Arizona, Colorado,1,Directed
Arizona, LSU,1,Directed
Arizona, Ohio State,1,Directed
Arizona, Purdue,1,Directed
Arizona, TCU,1,Directed
Arizona, Washington,1,Directed
Arizona, Washington State,1,Directed
Arizona,Colorado,1,Directed
Arizona,Houston,1,Directed
Arizona,Oregon,1,Directed
Arizona,Utah,1,Directed
Arizona State,Hawaii,1,Directed
Arizona State,Missouri,1,Directed
Arizona State,Nebraska,1,Directed
Arizona State,Wisconsin,1,Directed
Arkansas, Florida,1,Directed
Arkansas, Kentucky,1,Directed
Arkansas, Mississippi State,1,Directed
Arkansas, South Carolina,1,Directed
Arkansas, TCU,1,Directed
Arkansas, Texas A&M,1,Directed
Arkansas, USC,1,Directed
Arkansas,Auburn,1,Directed
Arkansas,Florida,1,Directed
Arkansas,Kentucky,1,Directed
Arkansas,Louisiana–Monroe,1,Directed
Arkansas,North Texas,1,Directed
Arkansas,South Carolina,1,Directed
Arkansas,Texas Tech,1,Directed
Arkansas,Toledo,1,Directed
Arkansas,USC,1,Directed
Arkansas–Monticello,South Alabama,1,Directed
Arkansas–Pine Bluff,FIU,1,Directed
Arkansas Pine Bluff,UTEP,1,Directed
Arkansas State, Missouri,1,Directed
Arkansas State,Baylor,1,Directed
Arkansas State,Central Arkansas,1,Directed
Arkansas State,FIU,1,Directed
Arkansas State,Indiana,1,Directed
Arkansas State,Louisiana–Lafayette,1,Directed
Arkansas State,Louisville,1,Directed
Arkansas State,NC State,1,Directed
Arkansas State,New Mexico State,1,Directed
Arkansas State,Oklahoma,1,Directed
Arkansas State,SMU,1,Directed
Arkansas State,South Alabama,1,Directed
Arkansas State,Texas A&M,1,Directed
Arkansas State,USC,1,Directed
Arkansas State,WKU,1,Directed
Army,Georgia Tech,1,Directed
Army,Iowa State,1,Directed
Army,Kent State,1,Directed
Army,Miami (OH),1,Directed
Army,Northern Illinois,1,Directed
Army,Notre Dame,1,Directed
Army,Oklahoma,1,Directed
Army,Penn State,1,Directed
Army,San Diego State,1,Directed
Army,Texas A&M,1,Directed
Army,Western Kentucky,1,Directed
Army Prep,South Alabama,1,Directed
at Ball State,Toledo,1,Directed
Auburn,Arkansas,1,Directed
Auburn,Ole Miss,1,Directed
Auburn,Syracuse,1,Directed
Auburn,USC,1,Directed
Austin Peay,Miami (OH),1,Directed
Austin Peay,Middle Tennessee,1,Directed
Austin Peay,Southern Miss,1,Directed
Austin Peay,Troy,1,Directed
Austin Peay,UCF,1,Directed
Austin Peay,Wisconsin,1,Directed
Ball State, (FCS) New Hampshire,1,Directed
Ball State, Western Michigan,1,Directed
Ball State,Akron,1,Directed
Ball State,Buffalo,1,Directed
Ball State,Georgia State,1,Directed
Ball State,Indiana State,1,Directed
Ball State,Kansas State,1,Directed
Ball State,Liberty,1,Directed
Ball State,Marshall,1,Directed
Ball State,Nebraska,1,Directed
Ball State,North Dakota State,1,Directed
Ball State,North Texas,1,Directed
Ball State,Notre Dame,1,Directed
Ball State,Oklahoma,1,Directed
Ball State,Temple,1,Directed
Ball State,Texas A&M,1,Directed
Ball State,UMass,1,Directed
Baylor, Kansas State,1,Directed
Baylor, Missouri,1,Directed
Baylor, Nebraska,1,Directed
Baylor, TCU,1,Directed
Baylor, Texas Tech,1,Directed
Baylor, Wake Forest,1,Directed
Baylor, West Virginia,1,Directed
Baylor,Army,1,Directed
Baylor,California,1,Directed
Baylor,Connecticut,1,Directed
Baylor,Duke,1,Directed
Baylor,Liberty,1,Directed
Baylor,Minnesota,1,Directed
Baylor,UAB,1,Directed
Baylor,UTSA,1,Directed
Baylor,West Virginia,1,Directed
Bethune–Cookman,Nebraska,1,Directed
Blue Vs. White Spring Game,Middle Tennessee,1,Directed
Boise State, Boston College,1,Directed
Boise State,Air Force,1,Directed
Boise State,BYU,1,Directed
Boise State,Louisiana Tech,1,Directed
Boise State,New Mexico,1,Directed
Boise State,TCU,1,Directed
Boise State,Virginia,1,Directed
Boise State,Washington State,1,Directed
Boston College, Louisville,1,Directed
Boston College, Miami,1,Directed
Boston College, Miami (FL),1,Directed
Boston College, Notre Dame,1,Directed
Boston College,Clemson,1,Directed
Boston College,Colorado State,1,Directed
Boston College,Duke,1,Directed
Boston College,Louisville,1,Directed
Boston College,Maryland,1,Directed
Boston College,Miami (FL),1,Directed
Boston College,North Carolina,1,Directed
Boston College,Northwestern,1,Directed
Boston College,UCF,1,Directed
Boston College,USC,1,Directed
Bowling Green,Boston College,1,Directed
Bowling Green,Georgia Tech,1,Directed
Bowling Green,Indiana,1,Directed
Bowling Green,Kent State,1,Directed
Bowling Green,Memphis,1,Directed
Bowling Green,Middle Tennessee,1,Directed
Bowling Green,Missouri,1,Directed
Bowling Green,Ohio,1,Directed
Bowling Green,Oklahoma,1,Directed
Bowling Green,Troy,1,Directed
Bowling Green,West Virginia,1,Directed
Bowling Green,Western Kentucky,1,Directed
Bryant,UMass,1,Directed
Buffalo, Baylor,1,Directed
Buffalo,Albany,1,Directed
Buffalo,Army,1,Directed
Buffalo,Colgate,1,Directed
Buffalo,Lehigh,1,Directed
Buffalo,Massachusetts,1,Directed
Buffalo,Missouri,1,Directed
Buffalo,Temple,1,Directed
Buffalo,Wisconsin,1,Directed
Butler,FIU,1,Directed
BYU, Boston College,1,Directed
BYU, Oregon State,1,Directed
BYU, TCU,1,Directed
BYU, USC,1,Directed
BYU, Wisconsin,1,Directed
BYU,Air Force,1,Directed
BYU,Arizona,1,Directed
BYU,Boston College,1,Directed
BYU,California,1,Directed
BYU,Colorado State,1,Directed
BYU,Georgia Tech,1,Directed
BYU,Mississippi State,1,Directed
BYU,Northern Illinois,1,Directed
BYU,Stanford,1,Directed
BYU,Syracuse,1,Directed
BYU,TCU,1,Directed
BYU,UCF,1,Directed
BYU,UMass,1,Directed
BYU,USC,1,Directed
BYU,Virginia,1,Directed
BYU,Wisconsin,1,Directed
Cal Poly,Kent State,1,Directed
Cal Poly,Nevada,1,Directed
Cal Poly,Northern Illinois,1,Directed
Cal Poly,Ohio,1,Directed
Cal Poly,San Diego State,1,Directed
Cal Poly,Toledo,1,Directed
Cal Poly,Wisconsin,1,Directed
California, Northwestern,1,Directed
California, Ohio State,1,Directed
California, Washington State,1,Directed
California,Air Force,1,Directed
California,Arizona State,1,Directed
California,Colorado State,1,Directed
California,San Diego State,1,Directed
Central Arkansas,Arkansas State,1,Directed
Central Arkansas,Louisiana Tech,1,Directed
Central Connecticut,Ball State,1,Directed
Central Connecticut,Syracuse,1,Directed
Central Connecticut,UMass,1,Directed
Central Florida,Boston College,1,Directed
Central Florida,Kent State,1,Directed
Central Florida,Miami (OH),1,Directed
Central Florida,Northern Illinois,1,Directed
Central Florida,West Virginia,1,Directed
Central Michigan,Arizona,1,Directed
Central Michigan,Boise State,1,Directed
Central Michigan,Buffalo,1,Directed
Central Michigan,Clemson,1,Directed
Central Michigan,Kent State,1,Directed
Central Michigan,Marshall,1,Directed
Central Michigan,Miami (OH),1,Directed
Central Michigan,Northwestern,1,Directed
Central Michigan,Ohio,1,Directed
Central Michigan,Penn State,1,Directed
Central Michigan,UCF,1,Directed
Central Michigan,Virginia,1,Directed
Charleston Southern,Alabama,1,Directed
Charleston Southern,Colorado,1,Directed
Charleston Southern,Florida State,1,Directed
Charleston Southern,Illinois,1,Directed
Charleston Southern,Indiana,1,Directed
Charleston Southern,Miami (OH),1,Directed
Charleston Southern,Troy,1,Directed
Charleston Southern,UCF,1,Directed
Charlotte,Kansas State,1,Directed
Charlotte,Marshall,1,Directed
Charlotte,Southern Miss,1,Directed
Charlotte,UMass,1,Directed
Charlotte,Western Kentucky,1,Directed
Chattanooga,Arkansas,1,Directed
Chattanooga,Florida State,1,Directed
Chattanooga,Nebraska,1,Directed
Chattanooga,Oklahoma,1,Directed
Chattanooga,West Virginia,1,Directed
Cincinnati,BYU,1,Directed
Cincinnati,Hawaii,1,Directed
Cincinnati,Illinois,1,Directed
Cincinnati,Indiana,1,Directed
Cincinnati,NC State,1,Directed
Cincinnati,Oklahoma,1,Directed
Cincinnati,Penn State,1,Directed
Cincinnati,Southern Miss,1,Directed
Cincinnati,Syracuse,1,Directed
Cincinnati,UCF,1,Directed
Cincinnati,Wisconsin,1,Directed
Clemson, Boston College,1,Directed
Clemson, Georgia,1,Directed
Clemson, Maryland,1,Directed
Clemson, NC State,1,Directed
Clemson, South Carolina,1,Directed
Clemson, TCU,1,Directed
Clemson, Virginia Tech,1,Directed
Clemson,NC State,1,Directed
Clemson,North Carolina,1,Directed
Clemson,Pittsburgh,1,Directed
Coastal Carolina,Arkansas,1,Directed
Coastal Carolina,Arkansas State,1,Directed
Coastal Carolina,Clemson,1,Directed
Coastal Carolina,Kent State,1,Directed
Coastal Carolina,Penn State,1,Directed
Coastal Carolina,South Alabama,1,Directed
Coastal Carolina,Toledo,1,Directed
Coastal Carolina,Troy,1,Directed
Coastal Carolina,West Virginia,1,Directed
Colgate,Ball State,1,Directed
Colgate,Buffalo,1,Directed
Colgate,Syracuse,1,Directed
Colgate,UMass,1,Directed
Colorado, Arizona State,1,Directed
Colorado, Kansas,1,Directed
Colorado, Kansas State,1,Directed
Colorado, Missouri,1,Directed
Colorado, Nebraska,1,Directed
Colorado, Oklahoma,1,Directed
Colorado, UCLA,1,Directed
Colorado, Utah,1,Directed
Colorado, Washington State,1,Directed
Colorado,Colorado State,1,Directed
Colorado,Fresno State,1,Directed
Colorado,Montana State,1,Directed
Colorado,Oregon,1,Directed
Colorado,Sacramento State,1,Directed
Colorado,Texas Tech,1,Directed
Colorado,Toledo,1,Directed
Colorado,West Virginia,1,Directed
Colorado State,California,1,Directed
Colorado State,Colorado,1,Directed
Colorado State,Miami (OH),1,Directed
Colorado State,USC,1,Directed
Colorado State,UTEP,1,Directed
Connecticut,Middle Tennessee,1,Directed
Connecticut,NC State,1,Directed
Connecticut,Virginia,1,Directed
Delaware,UMass,1,Directed
Delaware State,Buffalo,1,Directed
Delaware State,Florida State,1,Directed
Delaware State,Missouri,1,Directed
Delaware State,West Virginia,1,Directed
Drake,Iowa State,1,Directed
Duke,Alabama,1,Directed
Duke,Boston College,1,Directed
Duke,Kansas,1,Directed
Duke,Notre Dame,1,Directed
Duquesne,Buffalo,1,Directed
Duquesne,Hawaii,1,Directed
Duquesne,UMass,1,Directed
East Carolina,BYU,1,Directed
East Carolina,NC State,1,Directed
East Carolina,SMU,1,Directed
East Carolina,Syracuse,1,Directed
East Carolina,UTEP,1,Directed
East Carolina,Virginia,1,Directed
East Tennessee State,NC State,1,Directed
Eastern Illinois,Arkansas,1,Directed
Eastern Illinois,BYU,1,Directed
Eastern Illinois,Kansas State,1,Directed
Eastern Illinois,Missouri,1,Directed
Eastern Illinois,Northern Illinois,1,Directed
Eastern Illinois,Northwestern,1,Directed
Eastern Illinois,Penn State,1,Directed
Eastern Illinois,San Diego State,1,Directed
Eastern Illinois,Toledo,1,Directed
Eastern Kentucky,Ball State,1,Directed
Eastern Kentucky,Indiana,1,Directed
Eastern Kentucky,Kansas State,1,Directed
Eastern Kentucky,Marshall,1,Directed
Eastern Kentucky,NC State,1,Directed
Eastern Kentucky,Oregon State,1,Directed
Eastern Kentucky,UCF,1,Directed
Eastern Michigan,Arkansas,1,Directed
Eastern Michigan,Louisiana,1,Directed
Eastern Michigan,Missouri,1,Directed
Eastern Michigan,Rutgers,1,Directed
Eastern Michigan,San Diego State,1,Directed
Eastern Michigan,Virginia,1,Directed
Eastern Washington,Boise State,1,Directed
Eastern Washington,BYU,1,Directed
Eastern Washington,California,1,Directed
Eastern Washington,Colorado,1,Directed
Eastern Washington,San Diego State,1,Directed
Eastern Washington,Washington,1,Directed
Eastern Washington,West Virginia,1,Directed
Eastern Washington (FCS),Nevada,1,Directed
Elon,Georgia Tech,1,Directed
Elon,Toledo,1,Directed
FIU, Bethune-Cookman,1,Directed
FIU, Florida Atlantic,1,Directed
FIU, Georgia Southern,1,Directed
FIU, Louisville,1,Directed
FIU, Maine,1,Directed
FIU, Marshall,1,Directed
FIU, South Florida,1,Directed
FIU, Western Kentucky,1,Directed
FIU,Arkansas,1,Directed
FIU,Bowling Green,1,Directed
FIU,Carson–Newman,1,Directed
FIU,Duke,1,Directed
FIU,East Carolina,1,Directed
FIU,Gardner–Webb,1,Directed
FIU,Kansas,1,Directed
FIU,Kansas State,1,Directed
FIU,Louisiana–Monroe,1,Directed
FIU,Louisville,1,Directed
FIU,Maryland,1,Directed
FIU,McNeese State,1,Directed
FIU,North Texas,1,Directed
FIU,Old Dominion,1,Directed
FIU,Pittsburgh,1,Directed
FIU,Rice,1,Directed
FIU,Rutgers,1,Directed
FIU,Stephen F. Austin,1,Directed
FIU,Texas A&M,1,Directed
FIU,Toledo,1,Directed
FIU,UAB,1,Directed
FIU,UTEP,1,Directed
FIU,Western Kentucky,1,Directed
Florida,Alabama,1,Directed
Florida,Missouri,1,Directed
Florida A&M,Arkansas,1,Directed
Florida A&M,FIU,1,Directed
Florida A&M,Illinois,1,Directed
Florida A&M,Oklahoma,1,Directed
Florida A&M,Troy,1,Directed
Florida Atlantic,Buffalo,1,Directed
Florida Atlantic,Clemson,1,Directed
Florida Atlantic,Kansas,1,Directed
Florida Atlantic,Kansas State,1,Directed
Florida Atlantic,Louisiana,1,Directed
Florida Atlantic,Oklahoma,1,Directed
Florida Atlantic,South Alabama,1,Directed
Florida Atlantic,UTEP,1,Directed
Florida Atlantic,Western Kentucky,1,Directed
Florida Atlantic,Wisconsin,1,Directed
Florida International,Kansas,1,Directed
Florida International,Louisiana,1,Directed
Florida International,Penn State,1,Directed
Florida International,Rutgers,1,Directed
Florida International,Western Kentucky,1,Directed
Florida State, Boston College,1,Directed
Florida State, Georgia Tech,1,Directed
Florida State, Virginia Tech,1,Directed
Florida State,Florida,1,Directed
Florida State,Louisville,1,Directed
Florida State,Notre Dame,1,Directed
Florida State,South Florida,1,Directed
Florida State,Syracuse,1,Directed
Fork Union Military Academy,South Alabama,1,Directed
Fresno State,BYU,1,Directed
Fresno State,Louisiana Tech,1,Directed
Fresno State,Oklahoma,1,Directed
Fresno State,Oregon State,1,Directed
Fresno State,Texas A&M,1,Directed
Fresno State,Toledo,1,Directed
Fresno State,UCLA,1,Directed
Fresno State,USC,1,Directed
Fresno State,UTEP,1,Directed
Fresno State,Wisconsin,1,Directed
Furman,Michigan State,1,Directed
Furman,Missouri,1,Directed
Furman,NC State,1,Directed
Gardner-Webb,Georgia Tech,1,Directed
Gardner-Webb,NC State,1,Directed
Gardner–Webb,Buffalo,1,Directed
Gardner–Webb,Marshall,1,Directed
Gardner–Webb,South Alabama,1,Directed
Georgetown,FIU,1,Directed
Georgia,Colorado,1,Directed
Georgia Military College,South Alabama,1,Directed
Georgia Southern,Arkansas State,1,Directed
Georgia Southern,Clemson,1,Directed
Georgia Southern,Indiana,1,Directed
Georgia Southern,NC State,1,Directed
Georgia Southern,Ole Miss,1,Directed
Georgia Southern,Troy,1,Directed
Georgia Southern,UMass,1,Directed
Georgia State, (FCS) Liberty,1,Directed
Georgia State, New Hampshire,1,Directed
Georgia State, Old Dominion,1,Directed
Georgia State, Villanova,1,Directed
Georgia State,Air Force,1,Directed
Georgia State,Ball State,1,Directed
Georgia State,Charlotte,1,Directed
Georgia State,Chattanooga,1,Directed
Georgia State,Clemson,1,Directed
Georgia State,Coastal Carolina,1,Directed
Georgia State,Georgia Southern,1,Directed
Georgia State,Idaho,1,Directed
Georgia State,Jacksonville State,1,Directed
Georgia State,Louisiana–Monroe,1,Directed
Georgia State,Memphis,1,Directed
Georgia State,NC State,1,Directed
Georgia State,New Mexico State,1,Directed
Georgia State,Penn State,1,Directed
Georgia State,Richmond,1,Directed
Georgia State,Samford,1,Directed
Georgia State,South Carolina State,1,Directed
Georgia State,Tennessee State,1,Directed
Georgia State,UTSA,1,Directed
Georgia State,Washington,1,Directed
Georgia State,Western Michigan,1,Directed
Georgia State,Wisconsin,1,Directed
Georgia State,WKU,1,Directed
Georgia Tech, Boston College,1,Directed
Georgia Tech, Maryland,1,Directed
Georgia Tech, Miami,1,Directed
Georgia Tech, Miami (FL),1,Directed
Georgia Tech, Notre Dame,1,Directed
Georgia Tech, Virginia,1,Directed
Georgia Tech,Middle Tennessee,1,Directed
Georgia Tech,North Carolina,1,Directed
Georgia Tech,Pittsburgh,1,Directed
Georgia Tech,Wake Forest,1,Directed
Grambling State,Arizona,1,Directed
Grambling State,California,1,Directed
Grambling State,Louisiana,1,Directed
Grambling State,Nevada,1,Directed
Hargrave Military Academy,South Alabama,1,Directed
Hawai'i,Colorado,1,Directed
Hawai<U+BB>i,Oregon State,1,Directed
Hawai<U+BB>i,San Diego State,1,Directed
Hawai<U+BB>i,Washington,1,Directed
Hawaii, Alabama,1,Directed
Hawaii, Cincinnati,1,Directed
Hawaii, Utah State,1,Directed
Hawaii, Washington,1,Directed
Hawaii, Wisconsin,1,Directed
Hawaii,Air Force,1,Directed
Hawaii,Alabama,1,Directed
Hawaii,Arizona,1,Directed
Hawaii,Colorado,1,Directed
Hawaii,Florida Atlantic,1,Directed
Hawaii,Louisiana Tech,1,Directed
Hawaii,Michigan State,1,Directed
Hawaii,Notre Dame,1,Directed
Hawaii,Portland State,1,Directed
Hawaii,Rice,1,Directed
Hawaii,San José State,1,Directed
Hawaii,Tulane,1,Directed
Hawaii,Tulsa,1,Directed
Hawaii,UCLA,1,Directed
Henderson State,South Alabama,1,Directed
Holy Cross,FIU,1,Directed
Houston,Alabama,1,Directed
Houston,BYU,1,Directed
Houston,Hawaii,1,Directed
Houston,Oklahoma,1,Directed
Houston,UCLA,1,Directed
Houston,UTEP,1,Directed
Houston Baptist,SMU,1,Directed
Houston Baptist,UTEP,1,Directed
Houston Baptist,Western Kentucky,1,Directed
Howard,Boston College,1,Directed
Huntingdon,South Alabama,1,Directed
Idaho,Florida State,1,Directed
Idaho,Michigan State,1,Directed
Idaho,Middle Tennessee,1,Directed
Idaho,Missouri,1,Directed
Idaho,Nebraska,1,Directed
Idaho,Ole Miss,1,Directed
Idaho,Oregon State,1,Directed
Idaho,South Alabama,1,Directed
Idaho,Texas A&M,1,Directed
Idaho,Troy,1,Directed
Idaho,Virginia,1,Directed
Idaho,West Virginia,1,Directed
Idaho State,California,1,Directed
Idaho State,Colorado,1,Directed
Idaho State,Nebraska,1,Directed
Idaho State,Oklahoma,1,Directed
Idaho State,San Diego State,1,Directed
Idaho State,Washington,1,Directed
Illinois, Minnesota,1,Directed
Illinois, Northwestern,1,Directed
Illinois, Purdue,1,Directed
Illinois,Fresno State,1,Directed
Illinois,Louisiana Tech,1,Directed
Illinois,North Carolina,1,Directed
Illinois,Ohio,1,Directed
Illinois,Ohio State,1,Directed
Illinois,San Jose State,1,Directed
Illinois,Southern Miss,1,Directed
Illinois,Syracuse,1,Directed
Illinois,Washington,1,Directed
Illinois,Western Michigan,1,Directed
Illinois State,Iowa State,1,Directed
Illinois State,Kansas State,1,Directed
Illinois State,Marshall,1,Directed
Illinois State,Missouri,1,Directed
Illinois State,Northern Illinois,1,Directed
Illinois State,Northwestern,1,Directed
Incarnate Word,UTEP,1,Directed
Indiana, Illinois,1,Directed
Indiana, Nebraska,1,Directed
Indiana, Purdue,1,Directed
Indiana,Central Michigan,1,Directed
Indiana,Connecticut,1,Directed
Indiana,Kentucky,1,Directed
Indiana,Maryland,1,Directed
Indiana,Missouri,1,Directed
Indiana,Navy,1,Directed
Indiana,Ohio State,1,Directed
Indiana,Southern Illinois,1,Directed
Indiana,Utah,1,Directed
Indiana,Wake Forest,1,Directed
Indiana,Washington,1,Directed
Indiana State,Miami (OH),1,Directed
Indiana State,Penn State,1,Directed
Iowa,Indiana,1,Directed
Iowa,Nebraska,1,Directed
Iowa,Northwestern,1,Directed
Iowa State, (FCS) North Dakota State,1,Directed
Iowa State, Colorado,1,Directed
Iowa State, Iowa,1,Directed
Iowa State, Kansas,1,Directed
Iowa State, TCU,1,Directed
Iowa State, Texas A&M,1,Directed
Iowa State, Utah,1,Directed
Iowa State, West Virginia,1,Directed
Iowa State,Boise State,1,Directed
Iowa State,Connecticut,1,Directed
Iowa State,Kent State,1,Directed
Iowa State,Northern Illinois,1,Directed
Iowa State,Northern Iowa,1,Directed
Iowa State,TCU,1,Directed
Jackson State,Middle Tennessee,1,Directed
Jacksonville State,Florida State,1,Directed
Jacksonville State,Kansas,1,Directed
Jacksonville State,Memphis,1,Directed
Kansas, (FCS) Nicholls,1,Directed
Kansas, (FCS) South Dakota State,1,Directed
Kansas, Nebraska,1,Directed
Kansas, UCLA,1,Directed
Kansas,Bowling Green,1,Directed
Kansas,Central Michigan,1,Directed
Kansas,Georgia Tech,1,Directed
Kansas,North Dakota State,1,Directed
Kansas,Northern Illinois,1,Directed
Kansas,Rice,1,Directed
Kansas,Rutgers,1,Directed
Kansas,Southern Miss,1,Directed
Kansas,TCU,1,Directed
Kansas,Toledo,1,Directed
Kansas State, (FCS) North Dakota State,1,Directed
Kansas State, Auburn,1,Directed
Kansas State, Louisville,1,Directed
Kansas State, Mississippi State,1,Directed
Kansas State, Missouri,1,Directed
Kansas State, Oklahoma State,1,Directed
Kansas State, Texas Tech,1,Directed
Kansas State,Fresno State,1,Directed
Kansas State,Louisiana,1,Directed
Kansas State,Marshall,1,Directed
Kansas State,Texas Tech,1,Directed
Kansas State,UCLA,1,Directed
Kent State, (FCS) North Carolina A&T,1,Directed
Kent State, Northern Illinois,1,Directed
Kent State, Western Michigan,1,Directed
Kent State,Army,1,Directed
Kent State,Baylor,1,Directed
Kent State,Clemson,1,Directed
Kent State,Connecticut,1,Directed
Kent State,Eastern Michigan,1,Directed
Kent State,Kansas State,1,Directed
Kent State,Louisiana,1,Directed
Kent State,Louisiana–Lafayette,1,Directed
Kent State,Massachusetts,1,Directed
Kent State,Michigan State,1,Directed
Kent State,Minnesota,1,Directed
Kent State,Rutgers,1,Directed
Kent State,Temple,1,Directed
Kent State,UCF,1,Directed
Kent State,Virginia,1,Directed
Kent State,West Virginia,1,Directed
Kentucky,Arkansas,1,Directed
Kentucky,Missouri,1,Directed
Kentucky Wesleyan,South Alabama,1,Directed
Lamar,Baylor,1,Directed
Lamar,Hawaii,1,Directed
Lamar,Louisiana,1,Directed
Lamar,Louisiana Tech,1,Directed
Lamar,South Alabama,1,Directed
Lamar,Texas A&M,1,Directed
Liberty,SMU,1,Directed
Liberty,UMass,1,Directed
Liberty,Virginia,1,Directed
Liberty,West Virginia,1,Directed
Louisburg College,South Alabama,1,Directed
Louisiana, Oklahoma State,1,Directed
Louisiana,Akron,1,Directed
Louisiana,Alabama,1,Directed
Louisiana,Arkansas State,1,Directed
Louisiana,Boise State,1,Directed
Louisiana,Coastal Carolina,1,Directed
Louisiana,Florida International,1,Directed
Louisiana,Georgia Southern,1,Directed
Louisiana,Idaho,1,Directed
Louisiana,Louisiana Tech,1,Directed
Louisiana,McNeese State,1,Directed
Louisiana,New Mexico State,1,Directed
Louisiana,North Texas,1,Directed
Louisiana,Ohio,1,Directed
Louisiana,Texas A&M,1,Directed
Louisiana,UCF,1,Directed
Louisiana,UTEP,1,Directed
Louisiana,Western Kentucky,1,Directed
Louisiana-Lafayette,FIU,1,Directed
Louisiana-Lafayette,Illinois,1,Directed
Louisiana-Lafayette,Middle Tennessee,1,Directed
Louisiana-Lafayette,Ohio,1,Directed
Louisiana-Lafayette,Southern Miss,1,Directed
Louisiana-Monroe,Arkansas,1,Directed
Louisiana-Monroe,FIU,1,Directed
Louisiana-Monroe,Florida State,1,Directed
Louisiana-Monroe,Ole Miss,1,Directed
Louisiana-Monroe,UCF,1,Directed
Louisiana–Lafayette,Arizona,1,Directed
Louisiana–Lafayette,Boise State,1,Directed
Louisiana–Lafayette,Middle Tennessee,1,Directed
Louisiana–Lafayette,Nebraska,1,Directed
Louisiana–Lafayette,Ole Miss,1,Directed
Louisiana–Lafayette,Southern Miss,1,Directed
Louisiana–Lafayette,Western Kentucky,1,Directed
