Source,Target,Weight,Type
UNLV,Hawaii,5,Directed
Utah State,BYU,5,Directed
UTEP,Southern Miss,5,Directed
Washington,California,5,Directed
Washington State,Oregon State,5,Directed
Western Michigan,Michigan State,5,Directed
Wisconsin, Ohio State,5,Directed
Wyoming,San Diego State,5,Directed
 Florida State,Clemson,4,Directed
 Florida State,NC State,4,Directed
 LSU,Alabama,4,Directed
 LSU,Arkansas,4,Directed
 Michigan,Michigan State,4,Directed
 Mississippi State,Alabama,4,Directed
 Oklahoma State,Oklahoma,4,Directed
 USC,Oregon State,4,Directed
Air Force,BYU,4,Directed
Air Force,New Mexico,4,Directed
Akron,Kent State,4,Directed
Akron,Penn State,4,Directed
Alabama, LSU,4,Directed
Arizona,Washington State,4,Directed
Arizona State,Oregon State,4,Directed
Arkansas, Auburn,4,Directed
Arkansas, Georgia,4,Directed
Arkansas,Ole Miss,4,Directed
Arkansas State,Memphis,4,Directed
Arkansas State,Ole Miss,4,Directed
Army,Boston College,4,Directed
Ball State,Central Michigan,4,Directed
Ball State,Indiana,4,Directed
Ball State,Miami (OH),4,Directed
Baylor,Kansas State,4,Directed
Baylor,Missouri,4,Directed
Boston College,Wake Forest,4,Directed
Buffalo,Central Michigan,4,Directed
Buffalo,Connecticut,4,Directed
Buffalo,Syracuse,4,Directed
Buffalo,Toledo,4,Directed
Buffalo,UCF,4,Directed
BYU,Notre Dame,4,Directed
BYU,Utah,4,Directed
California, Oregon,4,Directed
Chattanooga,Memphis,4,Directed
Clemson,Florida State,4,Directed
Colorado, USC,4,Directed
Colorado,California,4,Directed
Colorado,Kansas State,4,Directed
Colorado,USC,4,Directed
Colorado State,Boise State,4,Directed
Colorado State,BYU,4,Directed
Connecticut,Rutgers,4,Directed
East Carolina,Memphis,4,Directed
Eastern Michigan,Ball State,4,Directed
FIU,Troy,4,Directed
FIU,UCF,4,Directed
Florida Atlantic,FIU,4,Directed
Florida State, Florida,4,Directed
Florida State,Clemson,4,Directed
Florida State,NC State,4,Directed
Fresno State,Nevada,4,Directed
Georgia State,South Alabama,4,Directed
Hofstra,UMass,4,Directed
Houston,Southern Miss,4,Directed
Idaho,Boise State,4,Directed
Idaho,Hawaii,4,Directed
Idaho,Nevada,4,Directed
Illinois, Wisconsin,4,Directed
Illinois,Minnesota,4,Directed
Indiana,Purdue,4,Directed
Indiana State,Indiana,4,Directed
Iowa State, Oklahoma State,4,Directed
Iowa State,Iowa,4,Directed
Iowa State,Nebraska,4,Directed
Kansas, Texas,4,Directed
Kansas,Oklahoma State,4,Directed
Kansas,Texas A&M,4,Directed
Kansas State,Iowa State,4,Directed
Kansas State,Missouri,4,Directed
Kansas State,Oklahoma,4,Directed
Kent State,Toledo,4,Directed
Louisiana,Louisiana–Monroe,4,Directed
Louisiana–Monroe,Arkansas,4,Directed
Maine,Boston College,4,Directed
Memphis,Arkansas State,4,Directed
Miami (OH),Ball State,4,Directed
Michigan State, Michigan,4,Directed
Michigan State,Notre Dame,4,Directed
Michigan State,Wisconsin,4,Directed
Middle Tennessee,FIU,4,Directed
Missouri,Iowa State,4,Directed
Missouri,Kansas,4,Directed
Missouri State,Kansas State,4,Directed
NC State, Clemson,4,Directed
NC State, Florida State,4,Directed
NC State,Georgia Tech,4,Directed
Nevada,Louisiana Tech,4,Directed
New Mexico,Colorado State,4,Directed
New Mexico,UTEP,4,Directed
Norfolk State,Rutgers,4,Directed
North Carolina,Clemson,4,Directed
North Carolina,NC State,4,Directed
North Texas,Arkansas State,4,Directed
North Texas,Kansas State,4,Directed
Northwestern,Illinois,4,Directed
Northwestern,Wisconsin,4,Directed
